ID,year,month,day,name,route_id,Nombre Ref 1,Link Ref 1,Nombre Ref 2,Link Ref 2,Nombre Ref 3,Link Ref 3,Nombre Ref 4,Link Ref 4
341,1981,1,,Primera Absoluta.,86,,,,,,,,
342,1981,1,,Segunda Ascensión. Primera en solitario.,184,,,,,,,,
343,1981,1,,Tercer ascenso a la Cara Oeste.,365,,,,,,,,
344,1981,1,,Nueva Ruta por el glaciar Sur.,701,,,,,,,,
345,1981,1,28,Primera Absoluta.,558,,,,,,,,
346,1981,1,30,Tercer Ascenso a la Pared Sur y Nueva Ruta.,316,,,,,,,,
347,1981,3,,Primer Ascenso de la Pared Sur.,599,,,,,,,,
348,1981,10,,Segunda Ascensión.,235,,,,,,,,
349,1981,11,1,Primera Absoluta.,410,,,,,,,,
350,1981,11,1,Primera Absoluta.,407,,,,,,,,
351,1981,12,,Primera Ascensión a la Pared Sur por el día y Variante Directa a la cumbre.,316,,,,,,,,
352,1981,12,,Primera Ascensión femenina a la Pared Sur.,422,,,,,,,,
353,1982,,,Primera Absoluta.,456,,,,,,,,
354,1982,1,,Segunda Ascensión.,95,,,,,,,,
355,1981,1,,Segunda Ascensión.,94,,,,,,,,
356,1982,2,,Primera Ascensión femenina a la Pared Sur y segunda por el día.,316,,,,,,,,
357,1982,2,,Primera por el Canalón Sur.,421,,,,,,,,
358,1982,2,,Primer ascenso de la Cara Norte.,389,,,,,,,,
359,1983,,,Primera por el Canalón Central.,658,,,,,,,,
360,1983,12,29,Segunda Ascensión. Nueva Ruta Pared Este.,402,,,,,,,,
361,1984,10,,Primer Ascenso y Descenso en Esquís.,288,,,,,,,,
362,1984,11,30,Primera por la Pared Este a la Cumbre Este.,316,,,,,,,,
363,1985,1,,Primera Absoluta.,368,,,,,,,,
364,1985,,,Primera Absoluta.,463,,,,,,,,
365,1985,,,Primera Ascensión de la Pared Sur.,455,,,,,,,,
366,1985,,,Primera Ascensión de la Pared Sur.,456,,,,,,,,
367,1985,,,Apertura Ruta Directa.,330,,,,,,,,
368,1986,1,19,Segunda Ascensión.,895,,,,,,,,
369,1986,1,19,Segunda Ascensión.,894,,,,,,,,
370,1987,,,Variante Arista Oeste.,99,,,,,,,,
371,1988,,,Primera a la Cumbre Norte.,366,,,,,,,,
372,1989,,,Primera Ascensión de la Pared Sur.,426,,,,,,,,
373,1990,,,Apertura Canalón Buracchio - Delgado,421,,,,,,,,
374,1991,1,10,Primera Ascensión por la Cara Sur.,581,,,,,,,,
375,1993,,,Primera Ascensión por la Cara Sur.,99,,,,,,,,
376,1993,,,Apertura Vía Huidobro-Flowerre.,99,,,,,,,,
377,1993,,,"Apertura Ruta ""El Enigma de los Hielos"".",102,,,,,,,,
378,1994,,,Primera ascensión por el día.,330,,,,,,,,
